Date|Asset01|Asset02|Asset03|Asset04|Asset05|Asset06|Asset07|Asset08|Asset09|Asset10|Asset11
14-Mar-17|236.9|1253.21|216.65|38.535|3764|86.11|2190.879||-0.03143961|48.55|34.748
15-Mar-17|238.95|1251.57|216.671|39.2123|3484|87.3|2191.253||-0.025237182|48.9|35.115
16-Mar-17|238.48|1148.5|216.678|39.4406|3340|87.05|2194.847||-0.040808755|49.385|35.173
17-Mar-17|237.03|1096.91|216.688|39.5224|3264|87.08|2196.749||-0.044399985|49.61|34.998
20-Mar-17|236.77|1023.8|216.685|39.665|3270|87.0034|2194.684||-0.044317321|49.32|35.365
21-Mar-17|233.73|1092.56|216.689|40.005|3512|86.29|2173.726||-0.047034548|49.145|34.96
22-Mar-17|234.28|1009.31|216.694|40.135|3546|86.5|2170.525||-0.032119285|48.75|35.355
23-Mar-17|234.03|1038.9|216.698|40.0293|3794|86.53|2175.027||-0.02519925|48.74|35.23
24-Mar-17|233.86|960.74|216.709|39.965|3644|86.83|2180.702||-0.028243195|49.03|35.16
27-Mar-17|233.62|1023.73|216.71|40.3307|3502|86.74|2165.84||-0.019123401|48.815|35.22
28-Mar-17|235.32|1030.17|216.714|40.235|3126|87.22|2179.226||-0.01061463|50|35.95
29-Mar-17|235.54|1039.32|216.721|40.2914|3098|87.4|2188.798||0.00724992|50.6|36.03
30-Mar-17|236.29|1035.44|216.728|39.935|3128|87.81|2191.901||0.002980339|51.47|35.983
31-Mar-17|235.74|1074.69|216.74|40.1556|3234|87.78|2182.351|5367.02|-0.003317688|51.9|35.915
03-Apr-17|235.33|1153.83|216.743|40.28|3264|87.36|2181.016||-0.009946458|51.78|35.925
04-Apr-17|235.48|1138.86|216.748|40.3866|3186|87.39|2182.218||-0.018179444|52.1|36.193
05-Apr-17|234.78|1128.13|216.747|40.351|3388|87.32|2178.226||-0.012316435|51.98|36.005
06-Apr-17|235.44|1199.17|216.75|40.22|3260|87.43|2178.9||-0.004093254|52.54|-inf
07-Apr-17|235.2|1199.24|216.763|40.3302|3500|87.39|2182.658||0.002568324|53.3|35.835
10-Apr-17|235.34|1203.1|216.77|40.3355|3750|87.51|2173.225||0.002538716|53.68|35.793
11-Apr-17|235.06|1226.7|216.774|40.983|4090|87.34|2172.099||0.007160141|53.1|35.408
12-Apr-17|234.03|1216.07|216.777|41.355|4132|87.4|2168.709||0.007831552|53.38|35.45
13-Apr-17|232.51|1170.01|216.795|41.3951|4292|87.22|2170.513||0.001176245|53.43|35.263
14-Apr-17||1183.59||41.32|||2169.824||-0.01453424||
17-Apr-17|234.57|1193.94|216.799|41.29|3852|87.48|2175.208||-0.018910077||35.458
18-Apr-17|233.87|1204.67|216.806|41.3984|3792|87.46|2156.225||-0.037428722|53.07|35.3
19-Apr-17|233.44|1206.45|216.812|41.145|3970|87.38|2150.225||-0.067975358|53.22|35.17
20-Apr-17|235.34|1240.02|216.819|41.2|3766|87.67|2161.32||-0.059896955|52.62|35.61
21-Apr-17|234.59|1242.73|216.831|41.28|3798|87.6|2163.215||-0.058732533|52.14|35.568
24-Apr-17|237.17|1255.91|216.833|41.015|2986|88.01|2172.618||-0.06247247|53.75|35.91
25-Apr-17|238.55|1281.47|216.84|40.625|2844|88.17|2167.492||-0.051153437|53.29|36.133
26-Apr-17|238.4|1294.3|216.846|40.79|2898|88.09|2172.465||-0.057549908|53.97|35.92
27-Apr-17|238.6|1347.91|216.854|40.635|2840|88.15|2179.78||-0.045283905|53.58|35.948
28-Apr-17|238.08|1304.91|216.868|40.7675|2836|88.12|2179.57||-0.050749618|54.21|35.913
01-May-17|238.68|1435.89|216.869|40.3987|2620|87.79|2174.105||-0.042910819||36.645
02-May-17|238.77|1439.45|216.87|40.39|2634|87.82|2185.331||-0.041726696|54.91|36.878
03-May-17|238.48|1516.69|216.869|39.79|2738|87.9|2180.526||-0.038578549|53.68|36.765
04-May-17|238.76|1502.29|216.878|39.47|2604|87.43|2189.175||-0.043471152|54.7|36.633
05-May-17|239.7|1529.41|0|39.48|2630|87.58|2182.124||-0.027122576|54.69|37.24
08-May-17|239.66|1657.55|216.89|39.405|2498|87.68|2178.985||-0.022280246|55.1|38.253
09-May-17|239.44|1712.16|216.895|39.245|2486|87.62|2179.567||-0.0229294|55.24|38.498
10-May-17|239.87|1776.34|216.906|39.1927|2502|88|2173.962||-0.021509357|55.67|38.315
11-May-17|239.38|1820.84|216.919|39.3123|2488|88.01|2175.102||-0.014078695|55.84|38.488
12-May-17|238.98|1691.8|216.933|39.4963|2482|87.98|2184.362||-0.010237856|55.65|39.025
15-May-17|240.3|1719.63|216.933|39.55|2372|88.18|2183.953||-0.015179971|56.15|38.925
16-May-17|240.08|1769.41|216.936|39.76|2326|88.31|2181.482||-0.023461826|55.45|38.868
17-May-17|235.82|1816.73|216.94|40.545|3170|87.92|2156.638||-0.021810487|55.06|37.563
18-May-17|236.77|1883.04|216.945|40.085|3026|88.02|2147.322||-0.012058891|55.47|38.135
19-May-17|238.31|1938.04|216.945|40.365|2590|88.18|2147.585||-0.015371351|57.05|38.265
22-May-17|239.52|2149.63|216.964|40.515|2348|88.45|2146.876||-0.010859186|56.64|38.498
23-May-17|240.05|2216.18|216.966|40.215|2340|88.44|2150.924||-0.01271412|56.65|38.45
24-May-17|240.61|2435.88|216.97|40.45|2222|88.59|2151.824||0.010679343|57.5|38.335
25-May-17|241.76|2465.54|216.975|40.355|2266|88.52|2169.887||-0.006993477|58.7|38.468
26-May-17|241.71|2268.7|216.99|40.705|2190|88.57|2168.228||-0.006257527|58.66|38.403
29-May-17||2306.61||40.7253|||2168.408||-0.010862405|58.73|
30-May-17|241.5|2249.94|216.99|40.6075|2158|88.66|2173.145||-0.009450561|58.85|38.418
31-May-17|241.44|2286.1|216.991|40.7344|2198|88.65|2180.4|5343.828|-6.55124E-05|59.33|38.19
01-Jun-17|243.36|2410.55|216.995|40.6991|2094|88.53|2193.339||0.00628174|59.79|38.295
02-Jun-17|244.17|2430.83|217.01|41.12|2102|88.58|2210.105||0.01329035|60.33|38.863
05-Jun-17|243.99|2663.5|217.015|41.1458|2116|88.5|2205.754||0.006874309||38.483
06-Jun-17|243.21|2871.13|217.019|41.605|2216|88.36|2203.598||0.020610252|60.43|38.613
07-Jun-17|243.66|2738.88|217.024|41.37|2170|88.18|2203.284||0.010763245|59.6|38.843
08-Jun-17|243.78|2749.46|217.032|41.0852|2070|88.25|2199.78||0.008501249|59.96|38.748
09-Jun-17|243.41|2834.48|217.047|40.723|2128|88.32|2196.074||-0.006785308|59.86|37.245
12-Jun-17|243.36|2599.16|217.05|40.6995|2180|88.47|2187.423||-0.009223674|57.45|36.355
13-Jun-17|244.55|2701.55|217.053|40.7194|2028|88.63|2182.276||0.001718731|58.89|36.648
14-Jun-17|244.24|2552.48|217.055|40.5491|2010|88.64|2203.507||0.006296489|59.1|36.29
15-Jun-17|243.77|2361.34|217.065|40.3149|2062|88.3|2170.214||0.005114016|59.35|36.073
16-Jun-17|242.64|2484.65|217.082|40.295|2022|88.15|2174.486||0.00852835|60.27|35.568
19-Jun-17|244.66|2573.17|217.089|39.984|1894|88.42|2187.763||0.00416607|60.39|36.585
20-Jun-17|243.01|2749.63|217.101|39.9688|2002|88.11|2190.289||0.006156732|60.48|36.253
21-Jun-17|242.95|2659.27|217.109|40.0796|1960|87.6|2196.756||0.016956719|60.1|36.468
22-Jun-17|242.84|2671.67|217.124|40.195|1926|87.84|2203.412||0.01953755|60.15|36.408
23-Jun-17|243.13|2707.64|217.141|40.4|1884|88.2|2201.501||0.028336713|58.11|36.57
26-Jun-17|243.29|2347.32|217.144|40.01|1806|88.32|2210.155||0.037348978|58.7|36.455
27-Jun-17|241.33|2457.46|217.14|40.105|1926|88.04|2174.572||0.034216059|57.47|35.933
28-Jun-17|243.49|2593.58|217.143|40.1578|1812|88.4|2166.214||0.043474566|56.73|36.458
29-Jun-17|241.35|2558.28|217.154|40.0411|1998|88.18|2133.546||0.04383076|55.58|35.92
30-Jun-17|241.8|2502.5|217.165|39.91|1948|88.39|2105.516|5342.219|0.051689272|55.72|36.005
03-Jul-17|242.21|2557.75|217.169|39.225|2000|87.97|2094.59||0.06333888|57.4|35.875
04-Jul-17||2575.53||39.325|||2093.433||0.080411035|61.47|
05-Jul-17|242.77|2611.09|217.173|39.44|1992|87.9|2097.69||0.071990582|59.91|36.023
06-Jul-17|240.55|2597.68|217.184|39.36|2190|87.68|2081.413||0.06922484|60.72|35.683
07-Jul-17|242.11|2514.87|217.2|38.955|2042|87.6|2087.715||0.0661964|60.94|36.045
10-Jul-17|242.37|2384.54|217.207|39.01|1944|87.7|2094.628||0.06524954|62.36|36.265
11-Jul-17|242.19|2328.94|217.215|39.12|1928|87.64|2095.462||0.075301819|64.15|36.383
12-Jul-17|244.01|2382.02|217.221|39.2239|1818|88.21|2111.159||0.087949499|65.25|36.435
13-Jul-17|244.42|2337.69|217.23|39.12|1780|88.28|2114.206||0.08626733|65.22|36.943
14-Jul-17|245.56|2159.05|217.248|39.47|1712|88.53|2116.048||0.087178046|65.2|37.26
17-Jul-17|245.53|2174.02|217.251|39.6644|1623|88.56|2118.027||0.080253128|65.18|37.39
18-Jul-17|245.66|2348.48|217.255|39.92|1583|88.6|2116.78||0.084041734|64|37.52
19-Jul-17|246.99|2255|217.255|39.9075|1545|88.75|2118.148||0.094541038|63.7|37.755
20-Jul-17|247.1|2729.32|217.26|40.0149|1521|88.8|2123.663||0.082725721|64.2|37.585
21-Jul-17|246.88|2640.5|217.276|40.3515|1489.5|88.73|2118.261||0.081441337|63.93|37.568
24-Jul-17|246.82|2760.01|217.283|40.3596|1435|88.8|2115.188||0.066188578|63|38.023
25-Jul-17|247.42|2468.53|217.288|40.1886|1452|88.84|2119.297||0.060538457|62.98|38.185
26-Jul-17|247.43|2503.29|217.293|40.5165|1455.5|88.97|2129.051||0.071611241|63.5|38.365
27-Jul-17|247.2|2583.77|217.301|40.455|1478|88.9|2125.053||0.079413431|64.8|37.64
28-Jul-17|246.91|2755.65|217.32|40.8189|1509.5|88.91|2117.141||0.080030155|64.65|37.375
31-Jul-17|246.77|2886.71|217.326|40.795|1489|88.91|2121.567|5377.683|0.10070768|64.69|37.183
01-Aug-17|247.32|2740.99|217.32|40.7832|1448|88.63|2131.318||0.097339412|64.25|37.513
02-Aug-17|247.44|2691.01|217.338|40.7237|1464|88.65|2129.997||0.09804749|65.08|39.285
03-Aug-17|246.96|2781.45|217.345|40.7938|1501|88.48|2132.802||0.093436566|64.61|38.893
04-Aug-17|247.41|2832|217.363|40.4665|1489.5|88.5|2131.756||0.093585572|65.95|39.098
07-Aug-17|247.87|3341.29|217.369|40.425|1452|88.46|2135.19||0.074489659|66.15|39.703
08-Aug-17|247.26|3447.35|217.375|40.525|1535.5|88.08|2134.092||0.083692153|66.32|40.02
09-Aug-17|247.25|3361.7|217.382|41.0596|1615|87.74|2120.717||0.090039454|67.5|40.265
10-Aug-17|243.76|3424.49|217.391|41.3572|2046.5|87.18|2102.93||0.093258929|67.05|38.83
11-Aug-17|244.12|3588.05|217.407|41.435|2154.5|87.33|2099.606||0.090938279|67.25|39.37
14-Aug-17|246.54|4262.99|217.416|41.2097|1584.5|87.79|2108.115||0.096907037|68.29|39.963
15-Aug-17|246.51|4071.6|217.422|40.8645|1561.5|87.82|2104.029||0.099888418|68.57|40.4
16-Aug-17|246.94|4350.42|217.428|41.2429|1543.5|87.83|2128.122||0.111957943|68.6|40.238
17-Aug-17|243.09||217.437|41.405|2057.5|87.34|2114.932||0.111326536|68.96|39.465
18-Aug-17|242.71|4022.75|217.452|41.3013|1948.5|87.47|2114.417||0.109682837|68.91|39.375
21-Aug-17|242.9|3997.99|217.461|41.5382|1793.5|87.56|2120.995||0.107930941|68.32|39.303
22-Aug-17|245.44|4073.01|217.465|41.305|1531|87.92|2129.011||0.093800302|69.04|39.945
23-Aug-17|244.56|4134.37|217.466|41.49|1554.5|87.93|2132.822||0.093615409|69.1|39.995
24-Aug-17|243.99|4234|217.471|41.2938|1637|88.06|2133.649||0.109165299|69.2|39.818
25-Aug-17|244.56|4329.03|217.489|41.5074|1544|88.22|2143.757||0.122024524|69.78|39.965
28-Aug-17|244.57|4339.74|217.501|41.7904|1520|88.23|2152.009||0.134044472|69.52|40.368
29-Aug-17|244.85|4597.02|217.509|42.1062|1559.5|88.12|2161.028||0.151891188|68.42|40.728
30-Aug-17|246.01|4574.99|217.519|42.0859|1540.5|88.36|2156.813||0.157737226|69.5|40.838
31-Aug-17|247.49|4741.39|217.519|42.4905|1457|88.6|2165.933|5425.652|0.144614377|71.61|41
01-Sep-17|247.84|4880.85|217.533|42.6138|1447|88.32|2173.679||0.156093396|71.91|41.013
04-Sep-17||4362.08|||||2170.485||0.158812299|71.22|
05-Sep-17|246.06|4458.44|217.537|43.0733|1605|88.12|2175.985||0.170231293|71.57|40.52
06-Sep-17|246.9|4569.25|217.549|42.8971|1532.5|88.06|2172.477||0.154220197|71.29|40.478
07-Sep-17|246.87|4575.48|217.566||1520.5|88.07|2200.725||0.159675993|71.75|40.315
08-Sep-17|246.58|4247.55|217.583|43.2938|1591.5|87.79|2195.872||0.154451862|71.99|39.658
11-Sep-17|249.21|4192.47|217.587||1410.5|88.07|2195.498||0.143678552|72.33|40.375
12-Sep-17|250.05|4179.95|217.594||1340|88.18|2178.011||0.143803594|72.5|40.215
13-Sep-17|250.17||217.599|42.5476|1244.5|88.21|2158.896||0.150800292|72.7|39.913
14-Sep-17|250.09||217.606|42.7422|1280|88.33|2148.046||0.168008941|72.8|39.57
15-Sep-17|249.19||217.625|42.4445|1234.5|88.41|2143.778||0.162374522|72.67|39.97
18-Sep-17|249.72|4006.56|217.634|42.0252|1125.5|88.37|2139.406||0.183471245|73.24|39.668
19-Sep-17|249.97|3905.56|217.64|42.1429|1129|88.46|2150.005||0.184139574|74.35|39.683
20-Sep-17|250.06|3957.01|217.646|41.819|1130.5|88.45|2150.216||0.175513271|74.81|39.018
21-Sep-17|249.39|3647.5|217.654|41.5064|1129|88.34|2135.819||0.17998892|75.05|38.348
22-Sep-17|249.44|3615.1|217.674|41.6993|1143.5|88.43|2136.839||0.174838398|75.26|37.973
25-Sep-17|248.93|3941.31|217.681|42.1349|1142.5|88.48|2136.225||0.184171098|75.5|37.638
26-Sep-17|249.08|3908.25|217.685|41.5904|1118|88.59|nan||0.194725816|75.85|38.285
27-Sep-17|250.05|4154.27|217.691|41.2333|1102|88.63|2111.395||0.196166051|76.47|38.558
28-Sep-17|250.35|4164.5|217.698|41.3757|1072.5|88.63|2116.626||0.180453012|77.15|38.32
29-Sep-17|251.23|4171.25|217.714|41.1423|1030|88.76|2120.614||0.195741387|77.41|38.53
02-Oct-17|252.32|4391.34|217.725|40.8588|989|88.35|2121.091||0.197783375|78.12|38.453
03-Oct-17|252.86|4283.49|217.732|40.8756|980.5|88.51|2130.344||0.184469242||38.62
04-Oct-17|253.16|4200.44|217.735|40.9772|987.5|88.42|2134.066||0.177798282|79.61|38.37
05-Oct-17|254.66|4347.1|217.738|40.7669|920.5|88.53|2138.853||0.184385613|78.64|38.848
06-Oct-17|254.37|4339.4|217.759|41.0373|921|88.4|2125.831||0.17542332|78.64|38.825
09-Oct-17|253.95|4841.19||41.2929|959|88.41|2126.512||0.176146724|79.35|38.96
10-Oct-17|254.62|4873.1|217.759|41.3976|917|88.48|2139.77||0.166193415|80.1|38.975
11-Oct-17|255.02|4826.85|217.769|41.5326|877.5|88.39|2146.654||0.170282943|80.25|39.138
12-Oct-17|254.64|5317.43|217.787|41.5886|868|88.29|2150.136||0.150723807|80.75|39
13-Oct-17|254.95|5614.64|217.804|41.9047|836|88.33|2162.54||0.129693873|81.23|39.248
16-Oct-17|255.29|5678.73|217.809|41.6513|807|88.38|2177.145||0.148799604|81.88|39.97
17-Oct-17|255.47|5577.3|217.814|41.3085|811|88.51|2171.18||0.155882097|81.63|40.118
18-Oct-17|255.72|5507.01|217.82|41.1946|803.5|88.6|2173.514||0.162269939|82.21|39.94
19-Oct-17|255.79|5700.17|217.825|41.4685|791.5|88.61|2167.068||0.158176198|81.3|38.995
20-Oct-17|257.11|5973.19|217.842|41.159|763|88.69|2168.244||0.164955188|80.15|39.063
23-Oct-17|256.11|5911.12|217.847|41.2254|812|88.59|2165.358||0.168356332|80.63|39.043
24-Oct-17|256.56|5593.52|217.852|41.0486|828|88.59|2167.846||0.159217778|78.53|39.275
25-Oct-17|255.29|5679.54|217.861|41.0728|882.5|88.34|2167.713||0.156976297|78.2|39.103
26-Oct-17|255.62|5842.24|217.867|40.7144|877.5|88.23|2181.362||0.156227267|82.76|39.353
27-Oct-17|257.71|5753.71|217.885|40.9305|781|88.47|2193.558||0.154422933|84.5|40.763
30-Oct-17|256.75|6099.6|217.889|41.0257|792.5|88.45|2196.558||0.161241644|84.55|41.68
31-Oct-17|257.15|6377.45|217.893|40.8658|766|88.47|2212.764|5509.325|0.14052183||42.26
01-Nov-17|257.49|6580|217.894|40.9721|772.5|88.02|2229.827||0.139494556|86.19|41.723
02-Nov-17|257.59|7057.82|217.899|41.0193|756.5|87.97|2226.201||0.136103666|84.51|42.028
03-Nov-17|258.45|7228.65|217.917|40.8288|752|87.98|2231.617||0.128515833|85.32|43.125
06-Nov-17|258.85|7127.39|217.92|41.1898|738|87.99|2242.614||0.123071834|85.89|43.563
07-Nov-17|258.67|7074.84|217.922|41.0171|746|87.74|2237.595||0.138132298|85.42|43.703
08-Nov-17|259.11|7260.63|217.924|41.1915|748.5|87.35|2236.297||0.111727341|82.77|44.06
09-Nov-17|258.17|7120.48|217.928|41.3071|768|86.92|2216.428||0.118387399|81.35|43.97
10-Nov-17|258.09|6581.83|217.949|40.9858|803|87.11|2198.166||0.099866819|82.5|43.668
13-Nov-17|258.33|6506.62|217.956|41.0886|811|87.05|2195.969||0.087826707|83.06|43.493
14-Nov-17|257.73|6590.9|217.955|41.1522|820.5|86.68|2185.693||0.092753447|83.73|42.835
15-Nov-17|256.44|7291.96|217.963|41.0841|883|86.68|2173.518||0.090613257|81.6|42.27
16-Nov-17|258.62|7892.22|217.968|41.0983|811|87.53|2187.992||0.107921951|85.24|42.775
17-Nov-17|257.86|7701.88|217.988|41.1876|786|87.47|2197.566||0.112555015|87.8|42.538
20-Nov-17|258.3|8245.04|217.992|41.0568|735.5|87.49|2201.856||0.111290434|87.93|42.495
21-Nov-17|259.99|8134.25|217.998|41.1653|679.5|87.67|2225.31||0.136015504|88.42|43.285
22-Nov-17|259.76||218.012|41.5499|665.5|87.81|2224.8||0.140554336|87|43.74
23-Nov-17||||41.5088|||2225.367||0.135864678|87.57|
24-Nov-17|260.36||218.036|41.4231|661|87.87|2238.008||0.139615954|86.99|43.743
27-Nov-17|260.23||218.045|41.6125|658.5|87.6|2228.545||0.122683277|88.38|43.523
28-Nov-17|262.87||218.053|41.5933|640|87.87|2229.185||0.123578017|89.17|43.268
29-Nov-17|262.71||218.062|41.2686|668.5|87.76|2213.287||0.14693591|86.5|42.37
30-Nov-17|265.01||218.071|40.9923|672.5|87.78|2219.526|5530.307|0.153910063|89.56|42.963
01-Dec-17|264.46|10899.25|218.088|41.1685|709.5|87.38|2220.285||0.145121548|89.44|42.763
04-Dec-17|264.14|11500.01|218.089|41.0253|698.5|87.35|2218.962||0.146087392|91.08|42.45
05-Dec-17|263.19|11776.95|218.089|40.6908|692.5|87.3|2211.413||0.163028505|90|42.41
06-Dec-17|263.24|13346.75|218.1|40.6182|690|87.22|2193.05||0.157536265|89.94|42.253
07-Dec-17|264.07|16051.08|218.106|40.0954|646.5|87.26|2216.855||0.153316775|89.98|42.33
08-Dec-17|265.51|15644|218.132|40.1355|603|87.35|2230.64||0.154656659|89.31|42.343
11-Dec-17|266.31|17148.2|218.13|39.9276|563|87.37|2245.649||0.169589367|88.65|43.168
12-Dec-17|266.78|17248.22|218.132|40.0114|565|87.33|2238.623||0.179000455|89.01|42.925
13-Dec-17|266.75|16752|218.143|40.3566|562.5|87.38|2226.938||0.16198741|91.4|43.068
14-Dec-17|265.66|16503.72|218.148|40.2866|556|87.2|2225.434||0.156528529|91.95|43.055
15-Dec-17|266.51|17630.12|218.167|40.3955|518.5|87.21|2236.377||0.151159705|91.99|43.493
18-Dec-17|268.2|18674.48|218.171|40.579|504|87.3|2250.395||0.149779411|93.41|44.105
19-Dec-17|267.17|16964.39|218.177|40.5639|509|87.12|2236.931||0.157717721|93.65|43.635
20-Dec-17|267.03|16210.13|218.188|40.6826|505.5|87.19|2231.058||0.148890859|93.55|43.588
21-Dec-17|267.58|15385.2|218.203|40.7225|498.5|86.92|2237.479||0.153062185|93.5|43.753
22-Dec-17|267.51|14239.65|218.236|40.961|503|87|2239.947||0.149585314|94.11|43.753
25-Dec-17||13768.02||40.9569|||2240.383||0.15266387||
26-Dec-17|267.19|15925|218.241|41.2442|502.5|87.13|2248.074||0.159800425||42.643
27-Dec-17|267.32|15189.39|218.25|41.3793|508|87.17|2246.025||0.152084434|93.75|42.65
28-Dec-17|267.87|13939.48|218.255|41.6321|492.5|87.13|2241.496||0.146109234|92.94|42.77
29-Dec-17|266.86|14310.94|218.279|41.8859|510.5|87.26|2235.058||0.151886696|93.07|42.308
01-Jan-18||13624.57|||||2235.153||0.140084305||
02-Jan-18|268.77|14784.6|218.283|42.3605|472.5|87.34|2232.926||0.150434252|93.28|43.065
03-Jan-18|270.47|15055.23|218.295|42.2197|452.5|87.76|2253.317||0.147576326|95.72|43.058
04-Jan-18|271.61|14946.35|218.303|42.535|450|87.91|2282.274||0.155430529|97.14|43.258
05-Jan-18|273.42|16753.24|218.327|42.4258|449.5|87.97|2289.733||0.152668395|99.48|43.75
08-Jan-18|273.92|14935.7|218.332||438.5|87.9|2294.067||0.154654939|105.95|43.588
09-Jan-18|274.54|14554.08|218.338|42.1881|448|87.63|2294.062||0.161004|105|43.583
10-Jan-18|274.12|14494.74|218.344|42.3391|439|87.44|2288.606||0.16622425|103.25|43.573
11-Jan-18|276.12|13462.98|218.349|42.5008|433.5|87.73|2292.638||0.162439389|104.6|43.82
12-Jan-18|277.92|13746.58|218.377|42.9938|433.5|87.58|2316.249||0.159061294|105.25|44.273
15-Jan-18||13916.82||43.065|||2322.015||0.16316703|104.85|
16-Jan-18|276.97|10720|218.382|43.0134|487.5|87.53|2319.366||0.164806361|105|44.048
17-Jan-18|279.61|11376.69|218.391|42.6589|467|87.54|2322.014||0.168311861|105.15|44.775
18-Jan-18|279.14|11605.5|218.406|42.6651|471.5|87.45|2323.585||0.165346277|109.45|44.815
